,ent_num,Add_num,Address,City/State/Province/Postal Code,Country,Add_remarks
2493,9610,12107,"Abed Al Nour Street, Haret Hriek, PO Box 354/25",Beirut,Lebanon,
2494,9611,12109,"Abed Al Nour Street, PO Box 197/25, Alghobeiri, Haret Hriek",Beirut,Lebanon,
2495,9613,12113,,Darfur,Sudan,
2496,9614,12114,,,,
2497,9615,12115,,,,
2498,9616,12116,,,,
2499,9617,12117,,,,
2500,9618,12119,Route des Arsenaux 15,"Fribourg, FR 1700",Switzerland,
2501,9619,12121,c/o KOHAS AG,"Fribourg, FR",Switzerland,
2502,9620,12122,,,,
2503,9621,12123,,,,
2504,9659,31130,,Jabaliya,Region: Gaza,
2505,9749,12185,"2501-2508 Yuexiu Mansion, No. 82 Xinkai Road","Dalian, Liaoning 116011",China,
2506,9749,16916,No. 10 Zhongshan Road,Dalian,China,
2507,9749,16917,"No. 08 F25, Yuexiu Mansion, Xigang District",Dalian,China,
2508,9749,16921,"No. 100 Zhongshan Road, Dalian",,China,
2509,9750,12187,"12A Beisanhuan Zhong Road, P.O. Box 3042",Beijing,China,
2510,9753,12193,No. 30 Haidian Nanlu,Beijing,China,
2511,9754,12195,,,Iran,
2512,9754,12196,,Karachi,Pakistan,
2513,9754,12197,,,United Arab Emirates,
2514,9756,12203,,,Mexico,
2515,9757,12205,,"Ponta Pora, Mato Grosso do Sul",Brazil,
2516,9757,12206,,"Pedro Juan Caballero, Amambay",Paraguay,
2517,9758,12207,"617 CP Berar Society, Block 7-8",Karachi,Pakistan,
2518,9758,12208,"House No. 37, Street 30, Phase V, Defence Housing Authority",Karachi,Pakistan,
2519,9758,12209,"White House, Al-Wassal Road, Jumeira",Dubai,United Arab Emirates,
2520,9758,12210,"33-36, Pakmodiya Street, Haji Musafirkhana, Dongri",Bombay,India,
2521,9758,12211,"House No. 10, Hill Top Arcade, Defence Housing Authority",Karachi,Pakistan,
2522,9758,12212,"Moin Palace, 2nd Floor, Opp. Abdullah Shah Gazi Dargah, Clifton",Karachi,Pakistan,
